,Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat,mean_make_price_by_year
721,Toyota,Prius v,2012,Minivan,150000.0,1800.0,Hybrid,9699.0,15000.0,Automatic,Medium,11025.98947368421
722,BMW,X5,2006,Crossover,123129.0,3000.0,Petrol,14000.0,7695.5625,Automatic,Small,7998.085106382979
723,Renault,Grand Scenic,2011,Universal,239000.0,1500.0,Diesel,6900.0,21727.272727272728,Automatic,Medium,5763.9639175257735
724,Nissan,Qashqai,2013,Crossover,220000.0,1500.0,Diesel,8800.0,24444.444444444445,Manual,Medium,9189.285714285714
725,Audi,A6,2009,Sedan,270000.0,2000.0,Petrol,9200.0,20769.23076923077,Manual,Medium,10905.609375
726,Toyota,Auris,2011,Hatchback,176200.0,1400.0,Diesel,7599.0,16018.181818181818,Manual,Medium,9083.448087431694
727,Renault,Captur,2015,Universal,198000.0,1500.0,Diesel,10950.0,28285.714285714286,Automatic,Medium,9233.55487804878
728,Renault,Megane,2006,Cabriolet,180000.0,1500.0,Diesel,4500.0,11250.0,Manual,Medium,3000.4754098360654
729,Renault,Megane,2010,Sedan,220100.0,1500.0,Diesel,5000.0,18341.666666666668,Manual,Medium,5281.601307189542
730,Toyota,Corolla Verso,2006,Minivan,300000.0,1800.0,Petrol,6000.0,18750.0,Manual,Medium,6242.043689320389
731,Mitsubishi,Outlander,2013,SUV,222369.0,2000.0,Plug-in Hybrid,13400.0,24707.666666666668,Automatic,Medium,12039.96875
732,BMW,4 series,2015,Sedan,80000.0,2000.0,Petrol,19999.0,11428.57142857143,Automatic,Medium,22725.268292682926
733,KIA,Rio,2006,Hatchback,290000.0,1500.0,Diesel,3200.0,18125.0,Manual,Medium,3990.2758620689656
734,BMW,3 Series,2000,Sedan,200000.0,2000.0,Diesel,3500.0,9090.90909090909,Manual,Small,4076.9080459770116
735,Mercedes,E Class,2017,Sedan,50000.0,2000.0,Petrol,29900.0,10000.0,Automatic,Small,31642.757009345794
736,Toyota,Corolla Verso,2007,Universal,302718.0,2231.0,Diesel,7000.0,20181.2,Manual,Medium,6360.069958847736
737,Volkswagen,Passat,2015,Universal,115000.0,1400.0,Petrol,11200.0,16428.571428571428,Automatic,Medium,14206.872611464969
738,Volkswagen,Passat,2015,Sedan,106000.0,2000.0,Diesel,13799.0,15142.857142857143,Automatic,Medium,14206.872611464969
739,Rare,Grand Vitara,2006,Crossover,215800.0,2000.0,Petrol,7200.0,13487.5,Automatic,Medium,5889.121621621622
740,Volkswagen,Caddy,2012,Minivan,186000.0,1600.0,Diesel,6200.0,18600.0,Manual,Medium,9214.12987012987
741,Rare,Range Rover Sport,2013,SUV,215000.0,3000.0,Petrol,39000.0,23888.88888888889,Automatic,Medium,16518.577981651375
742,Mazda,CX-7,2007,SUV,173451.0,2300.0,Metan/Propan,6750.0,11563.4,Automatic,Medium,4303.12
743,Volkswagen,Passat,2008,Universal,260000.0,1798.0,Petrol,5550.0,18571.42857142857,Manual,Medium,5636.201219512195
744,Audi,A4,2012,Universal,186400.0,1799.0,Petrol,9499.0,18640.0,Manual,Medium,15912.955752212389
745,Skoda,Octavia RS,2017,Universal,137000.0,1400.0,Metan/Propan,12950.0,27400.0,Automatic,Medium,16243.589285714286
746,Mercedes,Vito,2015,Microvan,216000.0,2200.0,Diesel,20000.0,30857.14285714286,Automatic,Large,19659.738853503186
747,Skoda,Superb,2016,Sedan,105000.0,2000.0,Diesel,23500.0,17500.0,Automatic,Medium,13307.466666666667
748,BMW,5 Series,2004,Sedan,218569.0,3000.0,Diesel,13300.0,12142.722222222224,Manual,Medium,6565.737588652482
749,Skoda,Octavia,2018,Sedan,157000.0,1600.0,Diesel,15800.0,39250.0,Automatic,Large,19531.326923076922
750,Mercedes,M Class,2005,SUV,195400.0,2700.0,Diesel,4500.0,11494.117647058823,Automatic,Medium,6184.598360655737
751,Volkswagen,Phaeton,2005,Sedan,193000.0,3000.0,Diesel,9499.0,11352.941176470587,Automatic,Medium,5110.029940119761
752,BMW,3 Series,2000,Universal,300000.0,2000.0,Petrol,4500.0,13636.363636363636,Automatic,Medium,4076.9080459770116
753,Volkswagen,Golf,2011,Hatchback,155849.0,1400.0,Petrol,7850.0,14168.09090909091,Automatic,Medium,8706.567765567766
754,Mercedes,Vito,2010,Minivan,220000.0,2200.0,Diesel,10999.0,18333.33333333333,Automatic,Medium,12290.094017094018
755,Volkswagen,Jetta,2013,Sedan,175000.0,1400.0,Hybrid,9390.0,19444.444444444445,Automatic,Medium,9820.495192307691
756,Mazda,2,2005,Hatchback,109131.0,1388.0,Petrol,4300.0,6419.470588235294,Automatic,Small,3207.259259259259
757,Chevrolet,Volt,2012,Hatchback,140000.0,1400.0,Plug-in Hybrid,8299.0,14000.0,Automatic,Medium,6270.027027027027
758,Mercedes,E Class,2006,Sedan,400000.0,2200.0,Diesel,8200.0,25000.0,Manual,Medium,8511.984732824427
759,Nissan,Qashqai,2016,Crossover,175000.0,1500.0,Diesel,12999.0,29166.666666666668,Manual,Medium,12315.941176470587
